Extractor,Measure,Model,Gaussian filter,Other filter,ROC_AUC,AUC_PR,Max. f1,FPR at TPR=0.9,FPR at TPR=0.95,FPR at TPR=0.99,FPR at TPR=0.995,FPR at TPR=0.999,FPR at TPR=0.9999
C3D,per patch,SpatialBin/SVG/simple_0.50,"(0, 2, 2)",,0.8860183925529977,0.2582180264312063,0.38233514821536607,0.22858129894058038,0.40879778903731,0.781437125748503,0.8782818977429756,0.9403500690925841,0.9403500690925841
C3D,per patch,SVG,"(0, 2, 2)",,0.8972076419611582,0.37375532291395724,0.45106382978723397,0.21395670198065408,0.599032703823123,0.8572086596038692,0.8737908797789037,0.8893367111929986,0.8893367111929986
C3D,per patch,SpatialBin/SVG/0.50,"(0, 2, 2)",,0.8775682088417083,0.269572523080717,0.35,0.22823583602026715,0.5088668816213726,0.820704744357439,0.8469599263012436,0.941847075080608,0.941847075080608
C3D,per patch,SpatialBin/SVG/simple_0.20,"(0, 2, 2)",,0.8861563099204096,0.26309453780128256,0.366877515813686,0.22339935513588208,0.46936895439889453,0.7369875633348687,0.8927913403961308,0.9619990787655458,0.9619990787655458
C3D,per patch,SpatialBin/SVG/0.20,"(1, 0, 0)",,0.9009948796503594,0.2794188184917673,0.4055600981193786,0.2336480884385076,0.3528327959465684,0.809765085214187,0.8699907876554583,0.9073007830492861,0.9073007830492861
C3D,per patch,BalancedDistributionSVG/500/27/0.30,"(1, 0, 0)",,0.8634508264330015,0.3500292740831853,0.39736553238199784,0.41870105941962227,0.6644403500690926,0.9539382772915707,0.9682174113311838,0.9945877475817596,0.9945877475817596
C3D,per patch,SpatialBin/SVG/simple_0.50,"(1, 0, 0)",,0.9081157006202265,0.30232825609113134,0.4080779944289694,0.2047443574389682,0.32980193459235374,0.6675495163519115,0.8151773376324275,0.9975817595578075,0.9975817595578075
C3D,per patch,SVG,"(1, 0, 0)",,0.8721315865585465,0.32328025930345927,0.39829605963791265,0.3562874251497006,0.5667894979272224,0.8388991248272686,0.9320589590050667,0.9651082450483648,0.9651082450483648
C3D,per patch,SpatialBin/SVG/0.50,"(1, 0, 0)",,0.8994038756119246,0.2833255780076273,0.4033333333333333,0.24078765545831415,0.3345232611699678,0.8216259788116076,0.8672270842929526,0.9177798249654537,0.9177798249654537
C3D,per patch,SpatialBin/SVG/simple_0.20,"(1, 0, 0)",,0.90155578824462,0.29441923405108783,0.3952347582340575,0.20923537540304007,0.34995393827729154,0.7246660525103639,0.9907876554583142,1.0,1.0
C3D,per patch,SpatialBin/SVG/0.20,"(2, 0, 0)",,0.8748596724261674,0.22196652919704235,0.34838709677419355,0.2818977429755873,0.4017733763242745,0.8377475817595578,0.9044219253800092,0.9560110548134501,0.9560110548134501
C3D,per patch,BalancedDistributionSVG/500/27/0.30,"(2, 0, 0)",,0.8322247276466744,0.2893635150238838,0.34462151394422313,0.5365039152464303,0.6954168585905113,0.9736296637494243,0.9828420082911101,0.9975817595578075,0.9975817595578075
C3D,per patch,SpatialBin/SVG/simple_0.50,"(2, 0, 0)",,0.8838893768813002,0.23914092531535877,0.3536754507628294,0.2775218793182865,0.3730999539382773,0.7213265776140028,0.7997466605251037,0.8820819898664211,0.8820819898664211
C3D,per patch,SVG,"(2, 0, 0)",,0.8414191295405612,0.2665594834690997,0.3482045701849837,0.44391985260248734,0.6105481345002303,0.8990096729617688,0.9586596038691847,0.9788116075541226,0.9788116075541226
C3D,per patch,SpatialBin/SVG/0.50,"(2, 0, 0)",,0.8734968345955673,0.22694712017326202,0.35311143270622286,0.29410409949332106,0.40050667894979275,0.8337171810225702,0.9006218332565638,0.9598111469368954,0.9598111469368954
C3D,per patch,SpatialBin/SVG/simple_0.20,"(2, 0, 0)",,0.8805997129176351,0.2372876076702552,0.34746922024623805,0.2710732381391064,0.44011976047904194,0.7654306771073238,0.8165591893136803,0.9986181483187471,0.9986181483187471
C3D,per patch,SpatialBin/SVG/0.20,"(1, 2, 2)",,0.8688954827375661,0.22056430273292332,0.30987917555081734,0.2603638876093966,0.41559189313680334,0.805043758636573,0.852257024412713,0.9005066789497927,0.9005066789497927
C3D,per patch,BalancedDistributionSVG/500/27/0.30,"(1, 2, 2)",,0.8831714031686181,0.3860034722960757,0.4307692307692308,0.281437125748503,0.6537309995393827,0.9385076001842468,0.9458774758175956,0.9618839244587748,0.9618839244587748
C3D,per patch,SpatialBin/SVG/simple_0.50,"(1, 2, 2)",,0.871549923408996,0.21394943983228598,0.3397590361445783,0.26669737448180564,0.41847075080608015,0.7136112390603409,0.7459695992630124,0.8588208198986642,0.8588208198986642
C3D,per patch,SVG,"(1, 2, 2)",,0.8823240817113535,0.3422036823369011,0.40823634735899733,0.2711883924458775,0.5445647167204053,0.8734454168585906,0.8869184707508061,0.8941731920773837,0.8941731920773837
C3D,per patch,SpatialBin/SVG/0.50,"(1, 2, 2)",,0.8652833867149422,0.2254489144460699,0.31642694928084786,0.28500690925840627,0.4306771073238139,0.8240442192538001,0.8559419622293873,0.8907185628742516,0.8907185628742516
C3D,per patch,SpatialBin/SVG/simple_0.20,"(1, 2, 2)",,0.8702267200839824,0.2191913787349664,0.33047735618115054,0.2761400276370336,0.5019576232151083,0.7219023491478581,0.7453938277291571,0.8308383233532934,0.8308383233532934
C3D,per patch,SpatialBin/SVG/0.20,"(2, 1, 1)",,0.8740458260580807,0.21325538770548158,0.3313609467455621,0.2597881160755412,0.41006448641179183,0.7212114233072316,0.8626209120221097,0.9746660525103639,0.9746660525103639
C3D,per patch,BalancedDistributionSVG/500/27/0.30,"(2, 1, 1)",,0.8545984060501537,0.3350912388914305,0.39144385026737966,0.36492399815753107,0.633694150161216,0.971672040534316,0.9851450944265315,0.9960847535697835,0.9960847535697835
C3D,per patch,SpatialBin/SVG/simple_0.50,"(2, 1, 1)",,0.8849554915214294,0.2211855079087979,0.34583333333333327,0.2616305849838784,0.3717181022570244,0.5839474896361124,0.7307692307692307,0.8582450483648089,0.8582450483648089
C3D,per patch,SVG,"(2, 1, 1)",,0.8590883528113719,0.31052127822225284,0.3900621118012423,0.35939659143251956,0.6011054813450023,0.9049976969138646,0.95278673422386,0.976508521418701,0.976508521418701
C3D,per patch,SpatialBin/SVG/0.50,"(2, 1, 1)",,0.8706340449690957,0.21680424819920802,0.3277553375649163,0.284546292031322,0.44173192077383694,0.786158452326117,0.8610087517273146,0.9719023491478581,0.9719023491478581
C3D,per patch,SpatialBin/SVG/simple_0.20,"(2, 1, 1)",,0.883100168178848,0.2241368510978792,0.34637588197562535,0.2714187010594196,0.3856517733763243,0.6586826347305389,0.6897742975587287,0.8614693689543989,0.8614693689543989
C3D,per patch,SpatialBin/SVG/0.20,,erosion,0.871779830321468,0.3256564715192351,0.46853823814133594,0.41847075080608015,0.5771533855366191,0.8418931368033165,0.9185859051128512,0.9610778443113772,0.9610778443113772
C3D,per patch,BalancedDistributionSVG/500/27/0.30,,erosion,0.8568431116300494,0.34169436983911555,0.4147465437788019,0.45301704283740213,0.6145785352372178,0.8792031321971442,0.9478350990327038,0.9753569783509903,0.9753569783509903
C3D,per patch,SpatialBin/SVG/simple_0.50,,erosion,0.8628719751909419,0.31524856331847895,0.4736842105263159,0.3828880700138185,0.7455089820359282,0.9806540764624597,1.0,1.0,1.0
C3D,per patch,SVG,,erosion,0.84814869366812,0.3240605877965295,0.39473684210526316,0.41248272685398435,0.7156840165822201,0.757830492860433,0.926070935052971,0.9689083371718102,0.9689083371718102
